stop_name,stop_lat,stop_lon,line
Eastbound Hastings St @ Holdom Ave,49.280238,-122.979963,R5 Hastings St
Eastbound Hastings St @ Kensington Ave,49.280235,-122.969233,R5 Hastings St
Eastbound Hastings St @ Duthie Ave,49.280277,-122.952556,R5 Hastings St
SFU Transportation Centre @ Bay 2,49.279954,-122.919905,R5 Hastings St
SFU Transit Exchange @ Bay 2,49.278484,-122.91279,R5 Hastings St
Eastbound W Hastings St @ Granville St,49.285445,-123.11425,R5 Hastings St
Eastbound W Hastings St @ Abbott St,49.282214,-123.108834,R5 Hastings St
Eastbound E Hastings St @ Main St,49.28122,-123.098307,R5 Hastings St
Eastbound E Hastings St @ Commercial Dr,49.281131,-123.07086,R5 Hastings St
Eastbound E Hastings St @ Nanaimo St,49.281059,-123.055828,R5 Hastings St
Eastbound E Hastings St @ Renfrew St,49.281012,-123.043299,R5 Hastings St
Kootenay Loop @ Bay 8,49.281026,-123.024952,R5 Hastings St
Eastbound Hastings St @ Gilmore Ave,49.280953,-123.013446,R5 Hastings St
Northbound Boundary Rd @ Kitchener St,49.272518,-123.02333,R5 Hastings St
Waterfront Station @ Bay 1,49.285809,-123.112392,R5 Hastings St
Westbound E Hastings St @ Renfrew St,49.281229,-123.044631,R5 Hastings St
Westbound E Hastings St @ Nanaimo St,49.281242,-123.057254,R5 Hastings St
Westbound E Hastings St @ Commercial Dr,49.281362,-123.071174,R5 Hastings St
Westbound E Hastings St @ Main St,49.281426,-123.099363,R5 Hastings St
Westbound W Hastings St @ Abbott St,49.282004,-123.10684,R5 Hastings St
Westbound W Hastings St @ Granville St,49.285242,-123.113584,R5 Hastings St
SFU Transportation Centre @ Bay 1,49.279957,-122.920119,R5 Hastings St
Westbound Hastings St @ Duthie Ave,49.280475,-122.954024,R5 Hastings St
Westbound Hastings St @ Kensington Ave,49.280464,-122.970602,R5 Hastings St
Westbound Hastings St @ Holdom Ave,49.280436,-122.98142,R5 Hastings St
Westbound Hastings St @ Hythe Ave,49.28024,-122.991013,R5 Hastings St
Westbound Hastings St @ Willingdon Ave-,49.281121,-123.003852,R5 Hastings St
Westbound Hastings St @ Gilmore Ave,49.281146,-123.013374,R5 Hastings St
Kootenay Loop @ Bay 7,49.281204,-123.025393,R5 Hastings St
Northbound Seymour St @ W Hastings St,49.28481,-123.112535,R5 Hastings St
Newton Exchange @ Bay 8,49.133438,-122.841548,R6 Scott Rd
Northbound Scott Rd @ 92 Ave,49.171188,-122.890096,R6 Scott Rd
Northbound Scott Rd @ 96 Ave,49.177579,-122.889969,R6 Scott Rd
Northbound Scott Rd @ 103A Ave,49.191325,-122.890078,R6 Scott Rd
Scott Rd Station @ Bay 2,49.204407,-122.875132,R6 Scott Rd
Westbound 72 Ave @ 132 St,49.133813,-122.857236,R6 Scott Rd
Westbound 72 Ave @ 128 St,49.134001,-122.870456,R6 Scott Rd
Westbound 72 Ave @ 124 St,49.134034,-122.879754,R6 Scott Rd
Northbound Scott Rd @ 72 Ave,49.135869,-122.890168,R6 Scott Rd
Northbound Scott Rd @ 75A Ave,49.141016,-122.89022,R6 Scott Rd
Northbound Scott Rd @ 80 Ave,49.14955,-122.890223,R6 Scott Rd
Northbound Scott Rd @ 84 Ave,49.156256,-122.890181,R6 Scott Rd
Northbound Scott Rd @ Nordel Way,49.162457,-122.890176,R6 Scott Rd
Scott Road Station @ Bay 3,49.204438,-122.874861,R6 Scott Rd
Eastbound 72 Ave @ 124 St,49.133843,-122.878625,R6 Scott Rd
Eastbound 72 Ave @ 128 St,49.133786,-122.87006,R6 Scott Rd
Eastbound 72 Ave @ 132 St,49.133614,-122.85617,R6 Scott Rd
Newton Exchange @ Bay 5,49.133426,-122.842328,R6 Scott Rd
Southbound Scott Rd @ 103A Ave,49.189504,-122.890486,R6 Scott Rd
Southbound Scott Rd @ 96 Ave,49.176272,-122.890321,R6 Scott Rd
Southbound Scott Rd @ 92 Ave,49.169699,-122.890425,R6 Scott Rd
Southbound Scott Rd @ Nordel Way,49.161084,-122.890541,R6 Scott Rd
Southbound Scott Rd @ 84 Ave,49.155682,-122.890557,R6 Scott Rd
Southbound Scott Rd @ 80 Ave,49.148954,-122.890537,R6 Scott Rd
Southbound Scott Rd @ 75A Ave,49.139911,-122.890538,R6 Scott Rd
Southbound Scott Rd @ 72 Ave,49.135093,-122.890367,R6 Scott Rd
